City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
276,Athabasca,CA,54.72,-113.29,65.64,65,41,7.23,Rain
277,Tocopilla,CL,-22.09,-70.2,64.24,62,7,10.67,Clear
278,Vila Franca Do Campo,PT,37.72,-25.43,75.2,94,75,10.29,Rain
279,La Ronge,CA,55.1,-105.28,68.0,56,40,8.05,Clouds
280,Pedernales,DO,18.04,-71.74,83.41,73,21,3.4,Clouds
281,Bahia Blanca,AR,-38.72,-62.27,51.37,85,92,10.65,Clouds
282,Thompson,CA,55.74,-97.86,57.2,76,90,8.05,Clouds
283,Maues,BR,-3.38,-57.72,85.24,50,82,2.04,Clouds
284,Pitimbu,BR,-7.47,-34.81,73.4,83,20,6.93,Clouds
285,Axim,GH,4.87,-2.24,74.21,91,84,6.51,Clouds
286,Wellington,NZ,-41.29,174.78,55.4,62,85,5.82,Rain
287,Isangel,VU,-19.55,169.27,73.65,75,97,19.01,Clouds
288,Soure,BR,-0.72,-48.52,79.81,83,43,11.18,Clouds
289,Kayerkan,RU,69.35,87.76,53.6,93,77,4.47,Clouds
290,Rojhan,PK,28.69,69.95,85.35,73,71,10.85,Rain
291,Popovo,BG,43.35,26.23,59.0,100,40,3.36,Clouds
292,Tungor,RU,53.38,142.96,56.25,78,66,7.07,Clouds
293,Katobu,ID,-4.94,122.53,81.1,64,74,7.63,Clouds
294,Cache Creek,CA,50.81,-121.32,73.0,37,1,5.82,Clear
295,Salinas,US,36.68,-121.66,64.4,72,90,13.87,Clouds
296,Oxford,GB,51.75,-1.26,55.99,93,100,2.24,Clouds
297,Aloleng,PH,16.13,119.78,83.73,78,100,12.24,Clouds
298,Biltine,TD,14.53,20.92,78.21,79,90,4.52,Clouds
299,Never,FR,46.99,3.16,53.01,89,66,1.66,Clouds
300,Northam,GB,51.03,-4.22,57.0,93,100,3.0,Clouds
301,Pisco,PE,-13.7,-76.22,63.0,82,75,14.99,Clouds
302,Susaki,JP,33.37,133.28,84.2,79,75,4.7,Rain
303,Maralal,KE,1.1,36.7,57.2,87,23,5.06,Clouds
304,Tezu,IN,27.92,96.17,77.43,75,0,2.73,Clear
305,Porto Santo,PT,33.07,-16.34,73.4,83,20,11.41,Clouds
306,Rio Grande,BR,-32.03,-52.1,64.0,84,99,4.0,Clouds
307,Tautira,PF,-17.73,-149.15,84.2,66,20,12.75,Clouds
308,Yumen,CN,40.28,97.2,58.35,34,53,13.98,Clouds
309,Bengkulu,ID,-3.8,102.27,74.86,86,41,5.48,Clouds
310,Santa Cruz,BO,-17.8,-63.17,77.0,69,7,11.41,Clear
311,Samarai,PG,-10.62,150.67,78.03,87,100,17.45,Rain
312,Burghead,GB,57.7,-3.49,52.0,81,53,3.36,Clouds
313,Vao,NC,-22.67,167.48,66.74,67,62,19.86,Clouds
314,Meiganga,CM,6.52,14.3,64.78,94,76,0.81,Clouds
315,Lieksa,FI,63.32,30.02,49.21,84,56,9.42,Clouds
316,Hohhot,CN,40.81,111.65,59.0,87,0,4.47,Clear
317,Ketchikan,US,55.34,-131.65,60.8,77,75,6.93,Clouds
318,Luanda,AO,-8.84,13.23,71.6,88,75,9.17,Clouds
319,Ecully,FR,45.78,4.77,69.8,56,50,5.82,Clouds
320,Pyaozerskiy,RU,65.83,31.17,47.79,89,100,4.81,Rain
321,Siyabuswa,ZA,-25.11,29.04,54.75,85,34,10.85,Clouds
322,Kyren,RU,51.68,102.14,55.71,83,100,1.41,Rain
323,Arkhangelsk,RU,64.54,40.54,51.8,93,75,6.71,Clouds
324,Sinnamary,GF,5.38,-52.95,80.19,82,9,7.0,Clear
325,Strezhevoy,RU,60.73,77.59,50.0,100,0,2.24,Clear
326,Luangwa,ZM,-15.62,30.42,67.62,46,2,2.86,Clear
327,Lakes Entrance,AU,-37.88,147.98,61.0,53,25,5.99,Clouds
328,Nampula,MZ,-15.12,39.27,66.2,88,0,11.41,Clear
329,Cayenne,GF,4.93,-52.33,80.6,88,9,4.7,Clear
330,Skara,SE,58.39,13.44,57.2,76,83,4.7,Clouds
331,Mbour,SN,14.42,-16.96,75.2,94,20,3.36,Clouds
332,Misratah,LY,32.38,15.09,78.91,73,0,7.23,Clear
333,Fort Payne,US,34.44,-85.72,82.4,83,1,4.34,Clear
334,Aitape,PG,-3.14,142.35,84.7,66,58,2.77,Rain
335,Beauchamps,FR,50.01,1.52,53.01,78,99,7.67,Clouds
336,Cairns,AU,-16.92,145.77,78.8,47,40,17.22,Clouds
337,Zhezkazgan,KZ,47.8,67.71,63.12,39,12,4.21,Clouds
338,Konya,TR,38.17,32.5,73.4,35,9,9.17,Clear
339,Bartica,GY,6.4,-58.62,80.6,83,75,4.7,Clouds
340,Ust-Barguzin,RU,53.45,108.98,58.71,69,48,9.35,Clouds
341,Acarau,BR,-2.89,-40.12,77.4,81,0,12.24,Clear
342,Dawei,MM,14.08,98.2,77.05,86,99,2.28,Clouds
343,Norman Wells,CA,65.28,-126.83,59.0,77,75,18.34,Clouds
344,Kiboga,UG,0.92,31.77,62.58,94,0,1.21,Clear
345,Wakkanai,JP,45.41,141.67,73.4,94,75,4.7,Clouds
346,Uyar,RU,55.81,94.32,49.77,92,93,5.61,Clouds
347,Puerto Escondido,MX,15.85,-97.07,73.4,56,90,8.05,Clouds
348,Kysyl-Syr,RU,63.9,122.76,54.97,44,0,2.46,Clear
349,Krasnyy Yar,RU,46.53,48.35,60.8,82,0,6.71,Clear
350,Yayva,RU,59.33,57.26,53.01,100,100,6.46,Clouds
351,Katherine,AU,-14.47,132.27,78.8,31,18,11.41,Clouds
352,Port Macquarie,AU,-31.43,152.92,63.0,65,0,1.99,Clear
353,Salto,UY,-31.38,-57.97,73.99,60,88,7.0,Rain
354,Salym,RU,60.06,71.48,48.87,94,22,3.49,Clouds
355,Taonan,CN,45.33,122.78,74.84,66,100,8.34,Clouds
356,Paamiut,GL,61.99,-49.67,43.75,78,23,4.88,Clouds
357,Mobaye,CF,4.32,21.18,69.6,96,63,1.66,Clouds
358,Saint George,US,37.1,-113.58,104.0,13,1,10.29,Clear
359,Wiang Sa,TH,8.64,99.37,77.0,100,20,3.36,Clouds
360,Corocito,HN,15.75,-85.78,80.69,70,99,3.09,Clouds
361,Bandarbeyla,SO,9.49,50.81,76.3,78,100,28.25,Clouds
362,Udachnyy,RU,66.42,112.4,51.8,53,40,4.47,Haze
363,Alcaniz,ES,41.05,-0.13,71.01,91,0,2.06,Clear
364,Lokosovo,RU,61.13,74.82,48.85,91,1,3.83,Clear
365,Port Hardy,CA,50.7,-127.42,64.4,77,40,6.93,Clouds
366,Ciudad Guayana,VE,8.35,-62.65,75.99,90,93,1.99,Clouds
367,High Level,CA,58.52,-117.14,68.0,49,75,9.17,Clouds
368,Kieta,PG,-6.22,155.63,85.78,66,2,6.29,Rain
369,Mercedes,AR,-34.65,-59.43,61.0,89,74,5.01,Clouds
370,La Asuncion,VE,11.03,-63.86,86.0,70,35,14.99,Rain
371,Kutum,SD,14.2,24.67,76.51,66,35,7.76,Clouds
372,Nakatsu,JP,33.6,131.19,82.4,78,75,12.75,Clouds
373,Ormara,PK,25.21,64.64,82.78,86,74,18.99,Clouds
